sut_code,procedure_key,procedure_name,source_list,diagnosis_policy,required_icd10_patterns,excluded_icd10_patterns,required_diagnosis_groups,special_constraints,decision_if_missing,review_required,confidence,reason,source_evidence,quality_flags
530220,SUT::EK-2B::530220::44,Kist ponksiyonu,EK-2B,review_required,[],[],[],{},REVIEW_REQUIRED,True,medium,Quality gate: güçlü klinik işlem sinyali otomatik not_required olarak kabul edilmedi; uzman incelemesi gerekir (biyopsi).,"EK-2B HİZMET BAŞI İŞLEM PUAN LİSTESİ (Yür. 02.09.2023).xlsx, Satır 44: 'Kist ponksiyonu'.",[]
530230,SUT::EK-2B::530230::45,Kist veya benign tümör çıkarılması,EK-2B,review_required,[],[],[],{},REVIEW_REQUIRED,True,medium,Quality gate: güçlü klinik işlem sinyali otomatik not_required olarak kabul edilmedi; uzman incelemesi gerekir (tumor).,"EK-2B listesi, 530230 kodunu 'Cilt veya cilt altından çıkarılan lipom, sebase kist, pigmente lezyon vb.' olarak tanımlar.",[]
530260,SUT::EK-2B::530260::46,Lavman,EK-2B,review_required,[],[],[],{},REVIEW_REQUIRED,True,medium,Safety hardening: otomatik not_required yalnızca dar güvenli whitelist için izinlidir; bu işlem uzman incelemesine alındı.,"SUT açıklaması, prosedürün sıklığıyla ilgili sınırlamalar içerir, ancak tanı gereksinimleri belirtmez.",[]
530270,SUT::EK-2B::530270::47,Lenf bezi biyopsisi veya eksizyonu,EK-2B,review_required,[],[],[],{},REVIEW_REQUIRED,True,medium,Quality gate: güçlü klinik işlem sinyali otomatik not_required olarak kabul edilmedi; uzman incelemesi gerekir (biyopsi).,"SUT kodu 530270, 'Lenf bezi biyopsisi veya eksizyonu' işlemidir. Bu işlem, tanısal bir prosedür olmasına rağmen, EK-2B listesinde belirtilen diğer işlemlerle birlikte faturalandırılamaz kuralı dışında, tanı gereksinimi belirtilmemiştir. Bu tür biyopsi/eksizyon işlemleri genellikle tanısal amaçlarla yapılır ve tanı ger…",[]
530280,SUT::EK-2B::530280::48,Lenf bezi ponksiyonu veya aspirasyonu,EK-2B,review_required,[],[],[],{},REVIEW_REQUIRED,True,medium,Safety hardening: otomatik not_required yalnızca dar güvenli whitelist için izinlidir; bu işlem uzman incelemesine alındı.,"EK-2B listesi, 530280 kodunu 'Lenf bezi ponksiyonu veya aspirasyonu' olarak tanımlamaktadır. Açıklamada tanı gerekliliğine dair bir ifade bulunmamaktadır.",[]
530290,SUT::EK-2B::530290::49,Lokal anestezi,EK-2B,review_required,[],[],[],{},REVIEW_REQUIRED,True,medium,Safety hardening: otomatik not_required yalnızca dar güvenli whitelist için izinlidir; bu işlem uzman incelemesine alındı.,"SUT açıklaması, lokal anestezi uygulamasının koşullarını tanımlar, ancak belirli bir tanıya atıfta bulunmaz.",[]
530300,SUT::EK-2B::530300::50,Lomber ponksiyon,EK-2B,review_required,[],[],[],{},REVIEW_REQUIRED,True,medium,Safety hardening: otomatik not_required yalnızca dar güvenli whitelist için izinlidir; bu işlem uzman incelemesine alındı.,"SUT açıklaması: 'Pansuman dahildir.' Bu, işlemle ilgili bir lojistik detaydır, tanısal bir gereksinimi ima etmez.",[]
530310,SUT::EK-2B::530310::51,Mesane sonda uygulaması,EK-2B,review_required,[],[],[],{},REVIEW_REQUIRED,True,medium,Safety hardening: otomatik not_required yalnızca dar güvenli whitelist için izinlidir; bu işlem uzman incelemesine alındı.,"EK-2B listesi, 530310 kodunu 'Mesane sonda uygulaması' olarak tanımlamaktadır. Açıklamada tanı gereksinimi belirtilmemiştir.",[]
530320,SUT::EK-2B::530320::52,Mide yıkama,EK-2B,review_required,"[""T36-T50"", ""T51-T65""]",[],[],{},REVIEW_REQUIRED,True,medium,"Mide yıkama işlemi, tanı gerektirmeyen bir uygulamadır.","EK-2B listesi, mide yıkama için tanı gerekliliği belirtmemektedir.",[]
530330,SUT::EK-2B::530330::53,Monitörizasyon,EK-2B,review_required,[],[],[],{},REVIEW_REQUIRED,True,medium,Safety hardening: otomatik not_required yalnızca dar güvenli whitelist için izinlidir; bu işlem uzman incelemesine alındı.,SUT açıklaması: 'Günde bir adet faturalandırılır. 530960 ile birlikte faturalandırılmaz.',[]
530340,SUT::EK-2B::530340::54,Nazogastrik sonda uygulaması,EK-2B,review_required,[],[],[],{},REVIEW_REQUIRED,True,medium,Safety hardening: otomatik not_required yalnızca dar güvenli whitelist için izinlidir; bu işlem uzman incelemesine alındı.,"EK-2B HİZMET BAŞI İŞLEM PUAN LİSTESİ (Yür. 02.09.2023).xlsx, Satır 54: 'Diğer girişimlerde yapılan nazogastrik uygulamalar o işlemin bir parçası olarak kabul edilir ve ayrıca bu kod üzerinden faturalandırılmaz.'",[]
530350,SUT::EK-2B::530350::55,Nebülizatör ile ilaç uygulaması,EK-2B,review_required,[],[],[],{},REVIEW_REQUIRED,True,medium,Safety hardening: otomatik not_required yalnızca dar güvenli whitelist için izinlidir; bu işlem uzman incelemesine alındı.,"SUT açıklaması, 'Günde bir adet faturalandırılır.' şeklinde bir kısıtlama belirtmektedir, ancak tanı gereksinimi belirtmemektedir.",[]
530360,SUT::EK-2B::530360::56,"Oksijen inhalasyon tedavisi, saatlik",EK-2B,review_required,[],[],[],{},REVIEW_REQUIRED,True,medium,Quality gate: güçlü klinik işlem sinyali otomatik not_required olarak kabul edilmedi; uzman incelemesi gerekir (oksijen inhalasyon).,"SUT açıklaması: 'Oksijen inhalasyon tedavisi, saatlik'. Klinik tedavi uygulamaları için tanı gerekliliği genellikle belirtilmez.",[]
530365,SUT::EK-2B::530365::57,Nitrik oksit tedavisi ve takibi,EK-2B,review_required,[],[],[],"{""age_min"": null, ""age_max"": null, ""allowed_sexes"": [], ""required_documents"": [], ""required_clinical_evidence_terms"": [""yoğun bakım hastalarında faturalandırılır""], ""facility_level_terms"": [""yoğun bakım""], ""report_terms"": [], ""other_conditions"": []}",REVIEW_REQUIRED,True,medium,Quality gate: güçlü klinik işlem sinyali otomatik not_required olarak kabul edilmedi; uzman incelemesi gerekir (yogun bakim).,"EK-2B listesi, 57. satır: 'Günde bir adet, yoğun bakım hastalarında faturalandırılır. Yoğun bakım işlemine dahildir. Tüm malzemeler dahildir.'",[]
530380,SUT::EK-2B::530380::58,"Parasentez, tanısal",EK-2B,review_required,"[""R18.*""]",[],[],{},REVIEW_REQUIRED,True,medium,"Parasentez, tanısal işlem, tanısal bir prosedürdür ve genellikle bir tanıya ihtiyaç duyulmadan gerçekleştirilir. EK-2B listesinde ICD-10 kodu gerekliliği belirtilmemiştir.","EK-2B HİZMET BAŞI İŞLEM PUAN LİSTESİ (Yür. 02.09.2023).xlsx, Satır 58",[]
530381,SUT::EK-2B::530381::59,"Parasentez, terapötik",EK-2B,review_required,"[""R18.*""]",[],[],{},REVIEW_REQUIRED,True,medium,"Parasentez, terapötik işlem, klinik bir prosedürdür ve genellikle bir tanıya bağlı değildir. Bu nedenle ICD-10 tanısı gerekliliği yoktur.",SUT açıklaması tanı gerekliliğinden bahsetmemektedir.,[]
530410,SUT::EK-2B::530410::61,Sütür alınması,EK-2B,review_required,[],[],[],{},REVIEW_REQUIRED,True,medium,Safety hardening: otomatik not_required yalnızca dar güvenli whitelist için izinlidir; bu işlem uzman incelemesine alındı.,"EK-2B HİZMET BAŞI İŞLEM PUAN LİSTESİ (Yür. 02.09.2023).xlsx, Satır 61: 'Pansuman dahil, alınan tüm sütürler için toplam.'",[]
530420,SUT::EK-2B::530420::62,"Torasentez, tanısal",EK-2B,review_required,"[""J90"", ""J91.*"", ""J94.*""]",[],[],{},REVIEW_REQUIRED,True,medium,"Torasentez, tanısal işlem, klinik bir işlemdir. Ancak, EK-2B listesinde bu işlem için ICD-10 tanı kodu gerekliliğini gösteren bir kısıtlama bulunmamaktadır. Bu nedenle, tanı kodu gerekliliği yoktur.","EK-2B listesi, 530420 (Torasentez, tanısal) için tanı kodu gerekliliğini belirtmemektedir.",[]
530421,SUT::EK-2B::530421::63,"Torasentez, terapötik",EK-2B,review_required,"[""J90"", ""J91.*"", ""J94.*""]",[],[],{},REVIEW_REQUIRED,True,medium,"Torasentez, terapötik, klinik bir işlemdir. Bu tür işlemler genellikle tanı gerektirmez.",SUT açıklaması tanı gerekliliğinden bahsetmemektedir.,[]
530430,SUT::EK-2B::530430::64,"Total parenteral nütrisyon (TPN) takibi, 24 saat",EK-2B,review_required,[],[],[],{},REVIEW_REQUIRED,True,medium,"Quality gate: güçlü klinik işlem sinyali otomatik not_required olarak kabul edilmedi; uzman incelemesi gerekir (enteral, nutrisyon, parenteral, tpn).",SUT açıklaması işlem tanımını belirtiyor.,[]
530470,SUT::EK-2B::530470::65,Uyarı ve baskılama testleri,EK-2B,review_required,[],[],[],{},REVIEW_REQUIRED,True,medium,Safety hardening: otomatik not_required yalnızca dar güvenli whitelist için izinlidir; bu işlem uzman incelemesine alındı.,"EK-2B HİZMET BAŞI İŞLEM PUAN LİSTESİ (Yür. 02.09.2023).xlsx, Satır 65: 'Uygulama ve takip dahil, test hariç, tedavi süresince bir adet faturalandırılır.'",[]
530480,SUT::EK-2B::530480::66,Vena seksiyonu (Cut-down),EK-2B,review_required,[],[],[],{},REVIEW_REQUIRED,True,medium,"Quality gate: güçlü klinik işlem sinyali otomatik not_required olarak kabul edilmedi; uzman incelemesi gerekir (cut down, seksiyon, vena seksiyonu).","EK-2B listesi, 'Vena seksiyonu (Cut-down)' (530480) işlemini tanımlamaktadır. Açıklamada tanı gerekliliğine dair bir ifade bulunmamaktadır.",[]
530490,SUT::EK-2B::530490::67,Ventilatör ile takip,EK-2B,review_required,[],[],[],{},REVIEW_REQUIRED,True,medium,Quality gate: güçlü klinik işlem sinyali otomatik not_required olarak kabul edilmedi; uzman incelemesi gerekir (ventilator).,SUT açıklaması sadece 'Günde bir adet faturalandırılır.' ibaresini içeriyor.,[]
530500,SUT::EK-2B::530500::68,"Yanık debritmanı, büyük",EK-2B,review_required,"[""T33-T35"", ""T20-T32""]",[],[],"{""age_min"": null, ""age_max"": null, ""allowed_sexes"": [], ""required_documents"": [], ""required_clinical_evidence_terms"": [], ""facility_level_terms"": [], ""report_terms"": [], ""other_conditions"": []}",REVIEW_REQUIRED,True,medium,"Yanık debritmanı işlemi, yanığın türünü ve şiddetini belirlemek için ICD-10 tanısı gerektirebilir. Bu, uygun bakımın sağlanması ve faturalandırma için önemlidir.","EK-2B listesi, 'Yanık debritmanı, büyük' (530500) hizmetini tanımlamaktadır. Bu tür işlemler genellikle yanıkla ilgili spesifik ICD-10 kodları gerektirir.","[""invalid_icd10_pattern:T22-T23"", ""invalid_icd10_pattern:T24-T30"", ""invalid_icd10_pattern:T31-T32""]"
530510,SUT::EK-2B::530510::69,"Yanık debritmanı, küçük",EK-2B,required_any,"[""T20-T32""]",[],[],"{""required_clinical_evidence_terms"": [""%10’dan küçük vücut yüzey alanında"", ""Yanık debritmanı, küçük""]}",NOT_PAYABLE_BY_DIAGNOSIS,True,high,Quality gate: SUT adı/açıklaması klinik tanı bağlamı taşıdığı için ICD-10 adayları eklendi: T20-T32.,"SUT kaynak kaydı: 530510 Yanık debritmanı, küçük %10’dan küçük vücut yüzey alanında Pansuman dahil, en fazla iki günde bir faturalandırılır.",[]
530520,SUT::EK-2B::530520::70,"Yanık debritmanı, orta",EK-2B,required_any,"[""T20-T32""]",[],[],"{""age_min"": null, ""age_max"": null, ""allowed_sexes"": [], ""required_documents"": [], ""required_clinical_evidence_terms"": [""Yanık debritmanı"", ""Yanık debritmanı, orta""], ""facility_level_terms"": [], ""report_terms"": [], ""other_conditions"": [""Vücut yüzey alanının %10-30 olması""]}",REVIEW_REQUIRED,True,medium,Quality gate: SUT adı/açıklaması klinik tanı bağlamı taşıdığı için ICD-10 adayları eklendi: T20-T32.,"SUT kaynak kaydı: 530520 Yanık debritmanı, orta %10-30 arası vücut yüzey alanında Pansuman dahil, en fazla iki günde bir faturalandırılır.","[""invalid_icd10_pattern:T22-T23""]"
530530,SUT::EK-2B::530530::71,"Yanık pansumanı, küçük",EK-2B,required_any,"[""T20-T32""]",[],[],"{""required_clinical_evidence_terms"": [""Yanık pansumanı, küçük""]}",NOT_PAYABLE_BY_DIAGNOSIS,True,high,Quality gate: SUT adı/açıklaması klinik tanı bağlamı taşıdığı için ICD-10 adayları eklendi: T20-T32.,"SUT kaynak kaydı: 530530 Yanık pansumanı, küçük %10’dan küçük vücut yüzey alanında Günde bir adet faturalandırılır.",[]
